0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:39:30 +0530] "GET /RoyalKitchen/index.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:39:40 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 98326
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:39:56 +0530] "POST /RoyalKitchen/AdminAccessServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:39:56 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:40:55 +0530] "POST /RoyalKitchen/admin/adminSignIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:40:55 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:41:11 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:41:21 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:41:37 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:46:27 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:46:29 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:46:52 +0530] "POST /RoyalKitchen/admin/adminSignIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:46:52 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:47:14 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:57:56 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:58:45 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 302 -
